Rank,ID,start datetime,end datetime,Data file
28,1827,2011/11/01 01:00,2011/11/01 08:25,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\28_1827_Birmingham_EA-RG_201111010100-201111010825.csv
29,1547,2010/08/09 17:20,2010/08/10 07:55,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\29_1547_Birmingham_EA-RG_201008091720-201008100755.csv
30,1434,2010/01/16 17:05,2010/01/17 09:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\30_1434_Birmingham_EA-RG_201001161705-201001170940.csv
31,1287,2009/06/15 10:10,2009/06/15 16:10,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\31_1287_Birmingham_EA-RG_200906151010-200906151610.csv
32,2034,2012/09/10 03:00,2012/09/11 03:15,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\32_2034_Birmingham_EA-RG_201209100300-201209110315.csv
33,2003,2012/07/30 09:15,2012/07/30 13:20,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\33_2003_Birmingham_EA-RG_201207300915-201207301320.csv
34,2235,2013/07/24 22:50,2013/07/25 05:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\34_2235_Birmingham_EA-RG_201307242250-201307250500.csv
35,2918,2016/06/08 14:40,2016/06/08 17:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\35_2918_Birmingham_EA-RG_201606081440-201606081730.csv
36,870,2007/09/23 15:50,2007/09/24 07:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\36_870_Birmingham_EA-RG_200709231550-200709240740.csv
37,2475,2014/08/01 13:00,2014/08/02 15:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\37_2475_Birmingham_EA-RG_201408011300-201408021535.csv
38,1253,2009/04/28 13:15,2009/04/29 01:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\38_1253_Birmingham_EA-RG_200904281315-200904290130.csv
39,493,2006/01/16 03:25,2006/01/16 23:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\39_493_Birmingham_EA-RG_200601160325-200601162340.csv
40,2454,2014/06/09 19:10,2014/06/10 00:20,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\40_2454_Birmingham_EA-RG_201406091910-201406100020.csv
41,2919,2016/06/10 16:45,2016/06/10 21:55,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\41_2919_Birmingham_EA-RG_201606101645-201606102155.csv
42,2791,2015/12/03 12:25,2015/12/03 22:10,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\42_2791_Birmingham_EA-RG_201512031225-201512032210.csv
43,840,2007/07/19 19:30,2007/07/21 23:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\43_840_Birmingham_EA-RG_200707191930-200707212335.csv
44,740,2007/01/09 10:30,2007/01/10 08:05,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\44_740_Birmingham_EA-RG_200701091030-200701100805.csv
45,1097,2008/08/20 14:00,2008/08/20 21:45,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\45_1097_Birmingham_EA-RG_200808201400-200808202145.csv
46,1832,2011/11/04 12:20,2011/11/05 02:10,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\46_1832_Birmingham_EA-RG_201111041220-201111050210.csv
47,2122,2012/12/22 01:20,2012/12/23 05:15,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\47_2122_Birmingham_EA-RG_201212220120-201212230515.csv
